n_total,n_tr,n_test,avg_accuracy,time_seq
200,160,40,0.9857142857142857,0.04440930911472866
500,400,100,0.9814285714285714,0.27243941170828684
1000,800,200,0.99,1.09218464578901
1500,1200,300,0.9904761904761905,2.451699733734131
1797,1437,360,0.9892857142857144,3.511139358792986
